gene_id	seqnames	start	end	width	strand
ENSG00000014123	chr6	96521595	96555276	33682	+
ENSG00000014138	chr11	65261762	65305589	43828	+
ENSG00000014164	chr8	143437655	143541453	103799	-
ENSG00000014216	chr11	65180566	65212006	31441	+
ENSG00000014257	chr3	132317367	132368298	50932	+
ENSG00000014641	chr2	63588609	63607197	18589	+
ENSG00000014824	chr4	41990472	42090457	99986	+
ENSG00000014914	chr1	149928651	149936898	8248	-
ENSG00000014919	chr10	99711844	99732100	20257	-
ENSG00000015133	chr14	91271323	91417844	146522	-
ENSG00000015153	chr12	42157104	42238349	81246	-
ENSG00000015171	chr10	134465	254637	120173	+
ENSG00000015285	chrX	48676596	48691427	14832	+
ENSG00000015413	chr16	89613308	89638456	25149	+
ENSG00000015475	chr22	17734138	17774770	40633	-
ENSG00000015479	chr5	139293648	139331359	37712	+
ENSG00000015520	chr7	44512535	44541315	28781	-
ENSG00000015532	chr17	50346092	50363138	17047	+
ENSG00000015568	chr2	109792758	109857695	64938	+
ENSG00000015592	chr8	27235323	27258420	23098	-
ENSG00000015676	chr7	44379121	44490880	111760	-
ENSG00000016082	chr5	51383391	51394738	11348	+
ENSG00000016391	chr3	53812335	53846390	34056	-
ENSG00000016402	chr6	136999971	137045180	45210	-
ENSG00000016490	chr1	86468368	86500289	31922	+
ENSG00000016602	chr1	86547078	86580754	33677	+
ENSG00000016864	chr3	52694485	52706083	11599	-
ENSG00000017260	chr3	130850595	131016712	166118	+
ENSG00000017427	chr12	102395867	102480645	84779	-
ENSG00000017483	chrX	48458537	48470256	11720	-
ENSG00000017797	chr18	9475009	9538116	63108	+
ENSG00000018189	chr4	70704204	70807315	103112	+
ENSG00000018236	chr12	40692442	41072418	379977	+
ENSG00000018280	chr2	218382029	218396894	14866	+
ENSG00000018408	chr3	149517235	149736714	219480	-
ENSG00000018510	chr2	177392644	177559299	166656	+
ENSG00000018607	chr2	132309309	132318736	9428	+
ENSG00000018610	chrX	119538149	119565408	27260	-
ENSG00000018625	chr1	160115759	160143591	27833	+
ENSG00000018699	chr2	32628032	32821051	193020	+
ENSG00000018869	chr19	56375846	56393545	17700	-
ENSG00000019102	chr11	124747472	124752238	4767	-
ENSG00000019144	chr11	118606440	118658038	51599	+
ENSG00000019169	chr2	118942166	118994660	52495	+
ENSG00000019186	chr20	54153449	54173973	20525	-
ENSG00000019485	chr11	45095806	45235124	139319	+
ENSG00000019505	chr11	45240301	45286319	46019	-
ENSG00000019549	chr8	48917690	48921740	4051	-
ENSG00000019582	chr5	150401637	150412929	11293	-
ENSG00000019991	chr7	81699006	81770438	71433	-
ENSG00000019995	chr10	124942123	124988189	46067	+
ENSG00000020129	chr1	35557473	35567274	9802	+
ENSG00000020181	chr8	37784191	37844896	60706	+
ENSG00000020219	chr7	152445477	152447150	1674	+
ENSG00000020256	chr20	52051663	52204308	152646	-
ENSG00000020426	chr14	60734742	60969953	235212	+
ENSG00000020577	chr14	54567097	54793315	226219	+
ENSG00000020633	chr1	24899511	24965121	65611	-
ENSG00000020922	chr11	94415578	94493908	78331	-
ENSG00000021300	chr11	73646178	73662819	16642	+
ENSG00000021355	chr6	2832332	2842006	9675	-
ENSG00000021461	chr7	99828013	99866102	38090	+
ENSG00000021488	chr19	32830509	32869766	39258	-
ENSG00000021574	chr2	32063611	32157637	94027	+
ENSG00000021645	chr14	78170373	79868290	1697918	+
ENSG00000021762	chr11	3087116	3166739	79624	-
ENSG00000021776	chr15	34851782	34969839	118058	-
ENSG00000021826	chr2	210477682	210679107	201426	+
ENSG00000021852	chr1	56929210	56966140	36931	-
ENSG00000022267	chrX	136146702	136211359	64658	+
ENSG00000022277	chr20	56468585	56519449	50865	+
ENSG00000022355	chr5	161847063	161899981	52919	+
ENSG00000022556	chr19	54953130	55001142	48013	+
ENSG00000022567	chr8	141207166	141308305	101140	-
ENSG00000022840	chr12	120533480	120577594	44115	+
ENSG00000022976	chr14	102317377	102342702	25326	+
ENSG00000023041	chr10	112424428	112446917	22490	-
ENSG00000023171	chr11	123358428	123627774	269347	+
ENSG00000023191	chr11	494512	507300	12789	-
ENSG00000023228	chr2	206114817	206159603	44787	-
ENSG00000023287	chr8	52622456	52745843	123388	-
ENSG00000023318	chr9	99979179	100099040	119862	-
ENSG00000023330	chr3	52198086	52214327	16242	+
ENSG00000023445	chr11	102317450	102339403	21954	+
ENSG00000023516	chr13	42272153	42323267	51115	+
ENSG00000023572	chr1	193096468	193106114	9647	-
ENSG00000023608	chr14	61762357	61796428	34072	+
ENSG00000023697	chr12	15911172	16037282	126111	+
ENSG00000023734	chr12	15882391	15903478	21088	+
ENSG00000023839	chr10	99782732	99852192	69461	+
ENSG00000023892	chr6	35297852	35321771	23920	+
ENSG00000023902	chr1	150149183	150164720	15538	+
ENSG00000023909	chr1	93885205	93909456	24252	-
ENSG00000024048	chr6	42564062	42693504	129443	+
ENSG00000024422	chr19	47713343	47743134	29792	+
ENSG00000024526	chr1	68474152	68497221	23070	-
ENSG00000024862	chr6	138773509	138793319	19811	+
ENSG00000025039	chr6	89364636	89412270	47635	-
ENSG00000025156	chr6	122399546	122433119	33574	+
ENSG00000025293	chr20	35771974	35950381	178408	+
ENSG00000025423	chr12	56752161	56787790	35630	+
ENSG00000025434	chr11	47248300	47269032	20733	+
ENSG00000025708	chr22	50525752	50530056	4305	-
ENSG00000025770	chr22	50508216	50523472	15257	+
ENSG00000025772	chr20	44942130	44960486	18357	-
ENSG00000025796	chr6	107867756	107958189	90434	-
ENSG00000025800	chr1	32108038	32176568	68531	+
ENSG00000026025	chr10	17228259	17237593	9335	+
ENSG00000026036	chr20	63659300	63698684	39385	+
ENSG00000026103	chr10	88990582	89015785	25204	+
ENSG00000026297	chr6	166929504	166957191	27688	-
ENSG00000026508	chr11	35138870	35232402	93533	+
ENSG00000026559	chr20	51003656	51023129	19474	-
ENSG00000026652	chr6	161129979	161274061	144083	-
ENSG00000026751	chr1	160739057	160754821	15765	+
ENSG00000026950	chr6	26402237	26415216	12980	+
ENSG00000027001	chr13	23730189	23889419	159231	-
ENSG00000027075	chr14	61187559	61550976	363418	+
ENSG00000027644	chr1	156840063	156859018	18956	-
ENSG00000027697	chr6	137197484	137219449	21966	-
ENSG00000027847	chr5	177600100	177610347	10248	+
ENSG00000027869	chr1	156806243	156816862	10620	-
ENSG00000028116	chr2	57907651	58159920	252270	+
ENSG00000028137	chr1	12166943	12209228	42286	+
ENSG00000028203	chr12	95217746	95302790	85045	+
ENSG00000028277	chr19	42086110	42196585	110476	-
ENSG00000028310	chr5	850291	892824	42534	-
ENSG00000028528	chr15	64094123	64146090	51968	+
ENSG00000028839	chr6	133952170	133990432	38263	+
ENSG00000029153	chr12	27332854	27425289	92436	+
ENSG00000029363	chr6	136256863	136289851	32989	-
ENSG00000029364	chr14	69398015	69462388	64374	+
ENSG00000029534	chr8	41653220	41896762	243543	-
ENSG00000029559	chr4	87799581	87812435	12855	+
ENSG00000029639	chr6	155257509	155314493	56985	-
ENSG00000029725	chr17	5282265	5385812	103548	+
ENSG00000029993	chrX	150980509	150990775	10267	+
ENSG00000030066	chr11	47778087	47848555	70469	-
ENSG00000030110	chr6	33572547	33580293	7747	-
ENSG00000030304	chr9	110668771	110801620	132850	+
ENSG00000030419	chr2	212999691	213152427	152737	-
ENSG00000030582	chr17	44345086	44353102	8017	+
ENSG00000031003	chr5	137937960	138051961	114002	-
ENSG00000031081	chr3	119294373	119420714	126342	+
ENSG00000031691	chr6	49463378	49493107	29730	+
ENSG00000031698	chr1	109213918	109238169	24252	+
ENSG00000031823	chr19	5916139	5978142	62004	-
ENSG00000032219	chr14	58298385	58373887	75503	+
ENSG00000032389	chr2	3188925	3377882	188958	-
ENSG00000032444	chr19	7534004	7561764	27761	+
ENSG00000032742	chr13	20567069	20691437	124369	+
ENSG00000033011	chr16	5033960	5087379	53420	+
ENSG00000033030	chr12	122471600	122501073	29474	-
ENSG00000033050	chr7	151207837	151227230	19394	-
ENSG00000033100	chr7	151232489	151238827	6339	+
ENSG00000033122	chr1	69568398	70151945	583548	+
ENSG00000033170	chr14	65410592	65744121	333530	+
ENSG00000033178	chr4	67612652	67701179	88528	-
ENSG00000033327	chr11	78215297	78418348	203052	-
ENSG00000033627	chr17	42458844	42522611	63768	+
ENSG00000033800	chr15	68054179	68198603	144425	+
ENSG00000033867	chr3	27372721	27484420	111700	-
ENSG00000034053	chr15	28884483	29118315	233833	+
ENSG00000034152	chr17	21284672	21315240	30569	+
ENSG00000034239	chr8	48710789	48735311	24523	-
ENSG00000034510	chr2	84905625	84906675	1051	+
ENSG00000034533	chr3	131013875	131027649	13775	-
ENSG00000034677	chr8	100257060	100336218	79159	-
ENSG00000034693	chr6	143450807	143490010	39204	+
ENSG00000034713	chr16	75566351	75577881	11531	+
ENSG00000034971	chr1	171635417	171652683	17267	-
ENSG00000035115	chr2	217730	266398	48669	-
ENSG00000035141	chr2	70295975	70302090	6116	-
ENSG00000035403	chr10	73995193	74121363	126171	+
ENSG00000035499	chr5	60596912	60700190	103279	-
ENSG00000035664	chr15	63907036	64072033	164998	-
ENSG00000035681	chr8	58583504	58659844	76341	-
ENSG00000035687	chr1	244408494	244452134	43641	-
ENSG00000035720	chr4	67558728	67607337	48610	+
ENSG00000035862	chr17	78852977	78925387	72411	-
ENSG00000035928	chr4	39287456	39366375	78920	-
ENSG00000036054	chr3	100261000	100325251	64252	+
ENSG00000036257	chr2	224470150	224585397	115248	-
ENSG00000036448	chr8	2045040	2165552	120513	+
ENSG00000036473	chrX	38352545	38421450	68906	+
ENSG00000036530	chr14	99684304	99727301	42998	+
ENSG00000036549	chr1	77562416	77683419	121004	-
ENSG00000036565	chr8	20144855	20183206	38352	-
ENSG00000036672	chr11	119355215	119381726	26512	-
ENSG00000036828	chr3	122184334	122286497	102164	+
ENSG00000037042	chr17	42659305	42667006	7702	+
ENSG00000037241	chr5	172958729	172969771	11043	+
